"show_no","ring_no","ring_name","ring_day_no","date_text"
"14906","670","WEC GRAND ARENA","3860","Wednesday, June 10, 2026"
"14906","670","WEC GRAND ARENA","3861","Thursday, June 11, 2026"
"14906","670","WEC GRAND ARENA","3862","Friday, June 12, 2026"
"14906","670","WEC GRAND ARENA","3863","Saturday, June 13, 2026"
"14906","670","WEC GRAND ARENA","3864","Sunday, June 14, 2026"
"14906","677","INDOOR 3","3900","Tuesday, June 9, 2026"
"14906","677","INDOOR 3","3901","Wednesday, June 10, 2026"
"14906","677","INDOOR 3","3902","Thursday, June 11, 2026"
"14906","677","INDOOR 3","3903","Friday, June 12, 2026"
"14906","677","INDOOR 3","3904","Saturday, June 13, 2026"
"14906","677","INDOOR 3","3905","Sunday, June 14, 2026"
"14906","684","INDOOR 6","4160","Tuesday, June 9, 2026"
"14906","684","INDOOR 6","4174","Wednesday, June 10, 2026"
"14906","684","INDOOR 6","4175","Thursday, June 11, 2026"
"14906","684","INDOOR 6","4176","Friday, June 12, 2026"
"14906","684","INDOOR 6","4180","Saturday, June 13, 2026"
"14906","684","INDOOR 6","4181","Sunday, June 14, 2026"
"14906","683","INDOOR 5","4159","Tuesday, June 9, 2026"
"14906","683","INDOOR 5","4182","Wednesday, June 10, 2026"
"14906","683","INDOOR 5","4183","Thursday, June 11, 2026"
"14906","683","INDOOR 5","4184","Friday, June 12, 2026"
"14906","683","INDOOR 5","4185","Saturday, June 13, 2026"
"14906","683","INDOOR 5","4186","Sunday, June 14, 2026"
"14906","675","INDOOR 1","3888","Tuesday, June 9, 2026"
"14906","675","INDOOR 1","3889","Wednesday, June 10, 2026"
"14906","675","INDOOR 1","3890","Thursday, June 11, 2026"
"14906","675","INDOOR 1","3891","Friday, June 12, 2026"
"14906","675","INDOOR 1","3892","Saturday, June 13, 2026"
"14906","675","INDOOR 1","3893","Sunday, June 14, 2026"
"14906","676","INDOOR 2","3894","Tuesday, June 9, 2026"
"14906","676","INDOOR 2","3895","Wednesday, June 10, 2026"
"14906","676","INDOOR 2","3896","Thursday, June 11, 2026"
"14906","676","INDOOR 2","3897","Friday, June 12, 2026"
"14906","676","INDOOR 2","3898","Saturday, June 13, 2026"
"14906","676","INDOOR 2","3899","Sunday, June 14, 2026"
"14906","678","INDOOR 4","3906","Tuesday, June 9, 2026"
"14906","678","INDOOR 4","3907","Wednesday, June 10, 2026"
"14906","678","INDOOR 4","3908","Thursday, June 11, 2026"
"14906","678","INDOOR 4","3909","Friday, June 12, 2026"
"14906","678","INDOOR 4","3910","Saturday, June 13, 2026"
"14906","678","INDOOR 4","3911","Sunday, June 14, 2026"
"14906","737","JUMPER ANNEX","4292","Tuesday, June 9, 2026"
"14906","737","JUMPER ANNEX","4293","Wednesday, June 10, 2026"
"14906","737","JUMPER ANNEX","4294","Thursday, June 11, 2026"
"14906","737","JUMPER ANNEX","4177","Friday, June 12, 2026"
"14906","737","JUMPER ANNEX","4178","Saturday, June 13, 2026"
"14906","737","JUMPER ANNEX","4179","Sunday, June 14, 2026"
"14906","750","HUNTER 2","4295","Wednesday, June 10, 2026"
"14906","750","HUNTER 2","4296","Thursday, June 11, 2026"
"14906","750","HUNTER 2","4297","Friday, June 12, 2026"
"14906","750","HUNTER 2","4298","Saturday, June 13, 2026"
"14906","750","HUNTER 2","4299","Sunday, June 14, 2026"
